ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Ti,Yeni_Yapilacak_Yesil_Alan,Toplam_Yesil_Alan
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,0,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,216,32272.59370044493,96817.78582622527
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,338,326277.1510434278,978831.500899106
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,169,379219.2810782264,1137657.8987545294
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,272,86329.01424244365,258987.05536638753
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,257,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,148,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,368,0.0,755789.6782663013
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,337,163.83274894185294,1976188.4982000962
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,268,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,240,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,118,34123.61653799059,542577.7275155684
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,101,0.03241525375024833,1158348.9524302601
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,289,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,163,187744.69907288483,563234.1247055416
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,295,595072.8493789535,1785218.6352588953
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,366,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,100,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,203,0.0,204094.60721775488
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,163,14690.393545471159,44071.182787170284
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,291,252478.83388649972,1112862.1003236251
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,313,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,208,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,362,525160.858481124,2171935.1828165986
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,260,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,448,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,223,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,381,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,156,0.0,711311.9838774118
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,159,280006.69276607456,840020.1192927891
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,271,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,261,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,225,109070.03162159746,898712.2714782344
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,81,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,103,0.0,545283.4216504643
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,440,0.0,1448077.7828947406
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,347,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,153,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,119,177390.11948066583,532170.3844129156
